NAMESPACE     NAME                                      READY   STATUS             RESTARTS      AGE     IP           NODE                              NOMINATED NODE   READINESS GATES
checkout      alpine-legacy                             0/1     CrashLoopBackOff   6 (64s ago)   7m      10.42.1.7    k3d-constellation-edge-server-0   <none>           <none>
checkout      nginx-legacy-5c9c88b69-9zg9k              1/1     Running            0             7m      10.42.1.8    k3d-constellation-edge-server-0   <none>           <none>
edge          dvwa-774bd5694-4vsc5                      1/1     Running            0             7m      10.42.1.6    k3d-constellation-edge-server-0   <none>           <none>
edge          juice-shop-6f74dfbfdd-q48s2               1/1     Running            0             7m      10.42.0.6    k3d-constellation-edge-agent-0    <none>           <none>
kube-system   coredns-576bfc4dc7-8sf2f                  1/1     Running            0             8m13s   10.42.0.3    k3d-constellation-edge-agent-0    <none>           <none>
kube-system   helm-install-traefik-7psk5                0/1     Completed          1             8m14s   10.42.1.4    k3d-constellation-edge-server-0   <none>           <none>
kube-system   helm-install-traefik-crd-mhd59            0/1     Completed          0             8m14s   10.42.0.2    k3d-constellation-edge-agent-0    <none>           <none>
kube-system   local-path-provisioner-6795b5f9d8-nljxn   1/1     Running            0             8m13s   10.42.1.2    k3d-constellation-edge-server-0   <none>           <none>
kube-system   metrics-server-557ff575fb-lnbzp           1/1     Running            0             8m13s   10.42.1.3    k3d-constellation-edge-server-0   <none>           <none>
kube-system   svclb-traefik-d7047178-k9rk7              2/2     Running            0             8m6s    10.42.0.4    k3d-constellation-edge-agent-0    <none>           <none>
kube-system   svclb-traefik-d7047178-wq7xg              2/2     Running            0             8m6s    10.42.1.5    k3d-constellation-edge-server-0   <none>           <none>
kube-system   traefik-5fb479b77-mvjtx                   1/1     Running            0             8m6s    10.42.0.5    k3d-constellation-edge-agent-0    <none>           <none>
payments      log4shell-api-5dc94c478d-m2hkj            0/1     ImagePullBackOff   0             7m      10.42.0.7    k3d-constellation-edge-agent-0    <none>           <none>
platform      hf-inference-b58f678bf-gqbrk              1/1     Running            0             6m59s   10.42.1.12   k3d-constellation-edge-server-0   <none>           <none>
platform      hostnet-snooper                           1/1     Running            0             6m59s   172.21.0.3   k3d-constellation-edge-agent-0    <none>           <none>
platform      privileged-pwn                            1/1     Running            0             6m59s   10.42.1.10   k3d-constellation-edge-server-0   <none>           <none>
platform      python-legacy                             1/1     Running            0             6m59s   10.42.1.9    k3d-constellation-edge-server-0   <none>           <none>
platform      redis-vuln-68f7d57fbf-9c5xt               1/1     Running            0             6m59s   10.42.1.11   k3d-constellation-edge-server-0   <none>           <none>
